--2019-04-11 09:31:29--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

  9700K .......... .......... .......... .......... ..........  0% 2,63M 85m41s
  9750K .......... .......... .......... .......... ..........  0% 3,01M 85m35s
  9800K .......... .......... .......... .......... ..........  0% 2,49M 85m33s
  9850K .......... .......... .......... .......... ..........  0% 2,19M 85m35s
  9900K .......... .......... .......... .......... ..........  0% 2,28M 85m36s
  9950K .......... .......... .......... .......... ..........  0% 2,41M 85m35s
 10000K .......... .......... .......... .......... ..........  0% 2,61M 85m32s
 10050K .......... .......... .......... .......... ..........  0% 3,22M 85m25s
 10100K .......... .......... .......... .......... ..........  0% 2,17M 85m27s
 10150K .......... .......... .......... .......... ..........  0% 2,49M 85m26s
 10200K .......... .......... .......... .......... ..........  0% 1,96M 85m31s
 10250K .......... .......... .......... .......... ..........  0% 1,82M 85m38s
 10300K .......... .......... .......... .......... ..........  0% 2,11M 85m41s
 10350K .......... .......... .......... .......... ..........  0% 2,53M 85m39s
 10400K .......... .......... .......... .......... ..........  0% 3,19M 85m32s
 10450K .......... .......... .......... .......... ..........  0% 1,59M 85m44s
 10500K .......... .......... .......... .......... ..........  0% 1,09M 86m12s
 10550K .......... .......... .......... .......... ..........  0% 1,56M 86m24s
 10600K .......... .......... .......... .......... ..........  0% 1,20M 86m47s
 10650K .......... .......... .......... .......... ..........  0%  703K 87m43s
 10700K .......... .......... .......... .......... ..........  0%  451K 89m23s
 10750K .......... .......... .......... .......... ..........  0% 1,22M 89m44s
 10800K .......... .......... .......... .......... ..........  0% 2,00M 89m47s
 10850K .......... .......... .......... .......... ..........  0% 2,02M 89m50s
 10900K .......... .......... .......... .......... ..........  0% 1,64M 89m59s
 10950K .......... .......... .......... .......... ..........  0% 1,06M 90m26s
 11000K .......... .......... .......... .......... ..........  0%  599K 91m32s
 11050K .......... .......... .......... .......... ..........  0% 1,06M 91m59s
 11100K .......... .......... .......... .......... ..........  0%  600K 93m4s
 11150K .......... .......... .......... .......... ..........  0% 1,00M 93m33s
 11200K .......... .......... .......... .......... ..........  0% 1,69M 93m40s
 11250K .......... .......... .......... .......... ..........  0% 1,22M 93m59s
 11300K .......... .......... .......... .......... ..........  0%  934K 94m31s
 11350K .......... .......... .......... .......... ..........  0% 1,44M 94m42s
 11400K .......... .......... .......... .......... ..........  0% 1,33M 94m57s
 11450K .......... .......... .......... .......... ..........  0% 1,73M 95m2s
 11500K .......... .......... .......... .......... ..........  0%  930K 95m34s
 11550K .......... .......... .......... .......... ..........  0% 1,04M 95m59s
 11600K .......... .......... .......... .......... ..........  0%  805K 96m38s
 11650K .......... .......... .......... .......... ..........  0% 1,11M 97m0s
 11700K .......... .......... .......... .......... ..........  0%  647K 97m55s
 11750K .......... .......... .......... .......... ..........  0%  420K 99m32s
 11800K .......... .......... .......... .......... ..........  0%  717K 1h40m
 11850K .......... .......... .......... .......... ..........  0%  793K 1h40m
 11900K .......... .......... .......... .......... ..........  0% 1,00M 1h41m
 11950K .......... .......... .......... .......... ..........  0%  525K 1h42m
 12000K .......... .......... .......... .......... ..........  0% 1,19M 1h42m
 12050K .......... .......... .......... .......... ..........  0% 1,64M 1h42m
 12100K .......... .......... .......... .......... ..........  0% 1,79M 1h42m
 12150K .......... .......... .......... .......... ..........  0% 1,10M 1h43m
 12200K .......... .......... .......... .......... ..........  0% 1,00M 1h43m
 12250K .......... .......... .......... .......... ..........  0%  721K 1h44m
 12300K .......... .......... .......... .......... ..........  0%  603K 1h45m
 12350K .......... .......... .......... .......... ..........  0% 1,01M 1h45m
 12400K .......... .......... .......... .......... ..........  0% 1,31M 1h45m
 12450K .......... .......... .......... .......... ..........  0% 1,94M 1h45m
 12500K .......... .......... .......... .......... ..........  0% 1,40M 1h45m
 12550K .......... .......... .......... .......... ..........  0%  976K 1h46m
 12600K .......... .......... .......... .......... ..........  0% 1,50M 1h46m
 12650K .......... .......... .......... .......... ..........  0% 1,35M 1h46m
 12700K .......... .......... .......... .......... ..........  0%  972K 1h47m
