--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

 14900K .......... .......... .......... .......... ..........  3%  629K 1h40m
 14950K .......... .......... .......... .......... ..........  3%  414K 1h40m
 15000K .......... .......... .......... .......... ..........  3%  392K 1h40m
 15050K .......... .......... .......... .......... ..........  3%  495K 1h40m
 15100K .......... .......... .......... .......... ..........  3%  534K 1h40m
 15150K .......... .......... .......... .......... ..........  3%  600K 1h40m
 15200K .......... .......... .......... .......... ..........  3%  718K 1h40m
 15250K .......... .......... .......... .......... ..........  3%  531K 1h40m
 15300K .......... .......... .......... .......... ..........  3%  424K 1h40m
 15350K .......... .......... .......... .......... ..........  3%  540K 1h41m
 15400K .......... .......... .......... .......... ..........  3%  559K 1h41m
 15450K .......... .......... .......... .......... ..........  3%  662K 1h40m
 15500K .......... .......... .......... .......... ..........  3%  719K 1h40m
 15550K .......... .......... .......... .......... ..........  3%  573K 1h40m
 15600K .......... .......... .......... .......... ..........  3%  567K 1h40m
 15650K .......... .......... .......... .......... ..........  3%  662K 1h40m
 15700K .......... .......... .......... .......... ..........  3%  583K 1h40m
 15750K .......... .......... .......... .......... ..........  3%  679K 1h40m
 15800K .......... .......... .......... .......... ..........  3%  728K 1h40m
 15850K .......... .......... .......... .......... ..........  3%  738K 1h40m
 15900K .......... .......... .......... .......... ..........  3%  777K 1h40m
 15950K .......... .......... .......... .......... ..........  3%  808K 1h40m
 16000K .......... .......... .......... .......... ..........  3%  821K 1h40m
 16050K .......... .......... .......... .......... ..........  3%  849K 1h40m
 16100K .......... .......... .......... .......... ..........  3%  833K 1h40m
 16150K .......... .......... .......... .......... ..........  3% 1,08M 1h40m
 16200K .......... .......... .......... .......... ..........  3%  606K 1h40m
 16250K .......... .......... .......... .......... ..........  3% 1,29M 99m57s
 16300K .......... .......... .......... .......... ..........  3%  416K 1h40m
 16350K .......... .......... .......... .......... ..........  3%  546K 1h40m
 16400K .......... .......... .......... .......... ..........  3%  593K 1h40m
 16450K .......... .......... .......... .......... ..........  3%  543K 1h40m
 16500K .......... .......... .......... .......... ..........  3%  441K 1h40m
 16550K .......... .......... .......... .......... ..........  3%  521K 1h40m
 16600K .......... .......... .......... .......... ..........  3%  459K 1h40m
 16650K .......... .......... .......... .......... ..........  3%  526K 1h40m
 16700K .......... .......... .......... .......... ..........  3%  628K 1h40m
